Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Hotel Sentral Georgetown @ City Centre,2803290,Penang,Malaysia,3,7.6,2025-12-10,2025-12-11,centre city georgetown sentral
tripcom,Siloso Beach Resort - Sentosa,2803678,Singapura,Singapura,4,8.2,2025-12-13,2025-12-14,beach sentosa siloso
agoda,The Berkeley Hotel Pratunam,2804365,Bangkok,Thailand,5,8.4,2025-12-13,2025-12-14,berkeley pratunam the
agoda,Grand Diamond Suites Hotel,2804365,Bangkok,Thailand,4,8.5,2025-12-11,2025-12-12,diamond grand suites
agoda,Hotel Tolbiac,2804756,Paris,Perancis,3,6.6,2025-12-13,2025-12-14,tolbiac
tripcom,Holiday Inn Golden Mile,2806884,Hong Kong,China,4,8.6,2025-12-18,2025-12-19,golden holiday mile
agoda,B&B Hotel Paris Malakoff Parc des Expositions,2806952,Paris,Perancis,2,7.7,2025-12-11,2025-12-12,bb des expositions malakoff parc paris
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-14,2025-12-15,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-18,2025-12-19,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-15,2025-12-16,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-17,2025-12-18,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-10,2025-12-11,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-11,2025-12-12,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-16,2025-12-17,jakarta pacific pan
bookingcom,Pan Pacific Jakarta,2808342,Jakarta,Indonesia,5,9.3,2025-12-12,2025-12-13,jakarta pacific pan
